config_id	chunk_size	compression_algo	compression_level	usecase	spans_t	spans_x	spans_y	read_times(sec)	ranks	compromises
32	4096,4,4	blosc-lz4	8	6	1	796	512	0.8134	52	4067
42	4096,4,4	lzf	NA	6	1	796	512	0.8215	53	4107.5
30	4096,4,4	blosc-lz4	2	6	1	796	512	0.8221	54	4110.5
39	4096,4,4	lz4	1048576	6	1	796	512	1.0224	55	5112
41	4096,4,4	lz4	1073741824	6	1	796	512	1.0537	56	5268.5
40	4096,4,4	lz4	33554432	6	1	796	512	1.1113	57	5556.5
47	625,25,16	gzip	4	6	1	796	512	2.3527	58	11763.5
48	625,25,16	gzip	6	6	1	796	512	2.3606	59	11803
43	4096,4,4	zstd	3	6	1	796	512	2.7836	60	13918
37	4096,4,4	blosc-zstd	5	6	1	796	512	2.8243	61	14121.5
44	4096,4,4	zstd	12	6	1	796	512	2.831	62	14155
36	4096,4,4	blosc-zstd	2	6	1	796	512	2.8424	63	14212
38	4096,4,4	blosc-zstd	8	6	1	796	512	2.8689	64	14344.5
49	625,25,16	gzip	8	6	1	796	512	3.1332	65	15666
26	4096,4,4	gzip	8	6	1	796	512	15.7618	66	78809
24	4096,4,4	gzip	4	6	1	796	512	15.8529	67	79264.5
25	4096,4,4	gzip	6	6	1	796	512	15.8939	68	79469.5
